run_id,sequence
1,ABAAAA
2,ABBAAA
3,BABAAB
4,AABBBB
5,ABBABA
6,BBBBAA
7,ABBBAB
8,BAAABA
9,AAABBB
10,ABAABA
11,BAABBB
12,BBBBBB
13,BBBABB
14,ABAABA
15,BBBAAB
16,ABABAB
17,AAABAB
18,AAABBB
19,ABBAAA
20,BAAABB
21,ABAABB
22,BABAAB
23,BAAABB
24,BABBAB
25,ABABBA
26,ABAAAA
27,BABAAA
28,AABABB
29,ABBBBB
30,ABBBAA
31,BABBAA
32,BABBAB
33,BAAABA
34,ABBBAB
35,BBABAA
36,BABBAA
37,ABBAAA
38,BBBABA
39,BBBABA
40,BBAABA
41,BABAAB
42,BAAABA
43,AABBBB
44,BBAABB
45,AAABBA
46,BBBAAA
47,BBABAB
48,ABABBB
49,AAABAB
50,BBABAB
51,BBABAB
52,ABBBAA
53,AABBAA
54,ABBAAB
55,BAABAB
56,BBABBB
57,BBBAAA
58,ABBBAA
59,ABAABA
60,BABABA
61,ABABBA
62,ABBBAB
63,AAAAAA
64,AAABBA
65,BAABAA
66,BABAAA
67,BABBAA
68,AAAABB
69,ABBBAB
70,BBABAA
71,ABBABA
72,BAAABA
73,BBAABA
74,BBAABA
75,ABBBAB
76,BAABAB
77,BAAABB
78,BABBAB
79,BBBBAB
80,ABBABB
81,BABBBB
82,ABBBBB
83,BBAAAB
84,AABAAA
85,BABBBA
86,AABABB
87,ABAABB
88,BBBABA
89,ABBAAA
90,ABABAB
91,AABBBB
92,BBABAA
93,BABBBB
94,BAAABA
95,AAAAAB
96,BBBBBB
97,BAAAAB
98,AAAAAA
99,BBABAB
100,ABAABB
101,ABABBB
102,AAABAB
103,BBBAAB
104,BBABBA
105,BABAAA
106,AAABAA
107,BBAAAA
108,ABBABA
109,BAABAA
110,BBBAAA
111,BBBBBB
112,BBBBBB
113,ABBAAA
114,BBABBA
115,ABBAAA
116,BAAABB
117,AAAABA
118,BBBBAA
119,BBABAA
120,ABABAB
121,AAAAAA
122,AAAAAA
123,ABBBAA
124,ABBABB
125,BABBAB
126,ABBBAB
127,BAABBA
128,BAABAA
129,ABBABB
130,BAABBB
131,AABAAA
132,AAAABA
133,BBAABB
134,ABBBAB
135,AAABAA
136,AABAAB
137,BBBABA
138,AABBBB
139,ABBBAA
140,BBBAAB
141,BABAAB
142,BBBAAA
143,ABBABA
144,AABAAB
145,BBAABB
146,ABABAB
147,ABBBBA
148,ABAAAB
149,BBABBB
150,BBABBB
151,BBBBBB
152,ABAABA
153,BBABBA
154,ABAABA
155,ABBBBB
156,BABBAB
157,BBAAAB
158,ABAABA
159,BBABAA
160,AABABA
161,BABBBB
162,AAAAAA
163,AAABBA
164,AABAAA
165,ABAAAA
166,ABBBBA
167,AAABBA
168,BABBBA
169,BBBABA
170,AAABAA
171,AAABAB
172,ABBAAA
173,ABBBAA
174,AABAAB
175,BABABB
176,AABBBB
177,AAAAAA
178,BABBBB
179,BAABBB
180,AAAAAB
181,BBBBAB
182,BBBABB
183,AABBBA
184,ABBBAB
185,AABABA
186,AAAAAA
187,BABAAB
188,ABBBBA
189,BABABB
190,ABBABA
191,BABABB
192,AABABB
193,AAABBB
194,AAABAA
195,ABABBB
196,BBBBBA
197,ABBAAA
198,BAABAB
199,BBAABB
200,BAAABB
201,BBABAB
202,BBBBBB
203,ABBBAB
204,BAAABB
205,ABBBAA
206,BBBBAB
207,BABABB
208,BBAAAA
209,BAABAB
210,ABAAAA
211,BABABB
212,ABABAB
213,BAABBA
214,BABAAB
215,BABAAA
216,ABABBB
217,BBAAAB
218,AABABB
219,AAAABA
220,BBBBBA
221,BABBAB
222,ABBBAA
223,ABBAAA
224,BAAABA
225,BAABAA
226,BBBAAA
227,ABBBBA
228,BBABBB
229,BAAAAA
230,ABAAAA
231,BABBBB
232,ABAABB
233,BAABAB
234,BBAABA
235,BAABAA
236,BABABB
237,AABABB
238,BBBBAA
239,BBAAAB
240,AABBBB
241,ABBAAA
242,AAAABB
243,AABAAA
244,BABBAB
245,ABAAAA
246,ABBABA
247,ABABAA
248,AABABB
249,BABAAB
250,BABABB
251,BABBBA
252,BBBABB
253,BABBBA
254,AAABAA
255,ABBBBA
256,AABAAB
257,AAABBA
258,ABABBB
259,BBBBAB
260,BBABAA
261,ABBBAA
262,ABBABB
263,BABBBB
264,BABBBA
265,ABABAA
266,BBBBAA
267,AAABAA
268,BAAAAB
269,BABAAA
270,AABBBB
271,BAAABA
272,BAAAAA
273,ABBABA
274,BBBAAA
275,BAAAAA
276,AAABAB
277,BBBBAA
278,AABBAB
279,BBAAAA
280,BAABBA
281,BBBABA
282,BAABAA
283,BAAABA
284,BBBBBA
285,BAABBA
286,ABBABB
287,BBABAA
288,AABBBA
289,BBAAAA
290,BAAAAB
291,AAAAAA
292,ABBBBA
293,AABBBB
294,AABABA
295,AABAAB
296,ABBAAA
297,AAABAA
298,BABABA
